movie_name,evaluate,describe,introduce,serial_number,star
肖申克的救赎,1088079人评价,希望让人自由。,1994/美国/犯罪剧情,1,9.6
霸王别姬,794367人评价,风华绝代。,1993/中国大陆香港/剧情爱情同性,2,9.5
这个杀手不太冷,1011865人评价,怪蜀黍和小萝莉不得不说的故事。,1994/法国/剧情动作犯罪,3,9.4
阿甘正传,862275人评价,一部美国近现代史。,1994/美国/剧情爱情,4,9.4
美丽人生,503903人评价,最美的谎言。,1997/意大利/剧情喜剧爱情战争,5,9.5
泰坦尼克号,802164人评价,失去的才是永恒的。 ,1997/美国/剧情爱情灾难,6,9.3
千与千寻,804100人评价,最好的宫崎骏，最好的久石让。 ,2001/日本/剧情动画奇幻,7,9.3
辛德勒的名单,456863人评价,拯救一个人，就是拯救整个世界。,1993/美国/剧情历史战争,8,9.4
盗梦空间,893537人评价,诺兰给了我们一场无法盗取的梦。,2010/美国英国/剧情科幻悬疑冒险,9,9.3
机器人总动员,587592人评价,小瓦力，大人生。,2008/美国/爱情科幻动画冒险,10,9.3
三傻大闹宝莱坞,803552人评价,英俊版憨豆，高情商版谢耳朵。,2009/印度/剧情喜剧爱情歌舞,11,9.2
忠犬八公的故事,563287人评价,永远都不能忘记你所爱的人。,2009/美国英国/剧情,12,9.3
海上钢琴师,681675人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998/意大利/剧情音乐,13,9.2
放牛班的春天,541874人评价,天籁一般的童声，是最接近上帝的存在。 ,2004/法国瑞士德国/剧情音乐,14,9.2
大话西游之大圣娶亲,594898人评价,一生所爱。,1995/香港中国大陆/喜剧爱情奇幻冒险,15,9.2
楚门的世界,569441人评价,如果再也不能见到你，祝你早安，午安，晚安。,1998/美国/剧情科幻,16,9.1
教父,404322人评价,千万不要记恨你的对手，这样会让你失去理智。,1972/美国/剧情犯罪,17,9.2
龙猫,497875人评价,人人心中都有个龙猫，童年就永远不会消失。,1988/日本/动画奇幻冒险,18,9.1
星际穿越,594124人评价,爱是一种力量，让我们超越时空感知它的存在。,2014/美国英国加拿大冰岛/剧情科幻冒险,19,9.2
熔炉,329669人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011/韩国/剧情,20,9.2
触不可及,436323人评价,满满温情的高雅喜剧。,2011/法国/剧情喜剧,21,9.2
无间道,484675人评价,香港电影史上永不过时的杰作。,2002/香港/剧情犯罪悬疑,22,9.1
乱世佳人,312116人评价,Tomorrow is another day.,1939/美国/剧情历史爱情战争,23,9.2
当幸福来敲门,639180人评价,平民励志片。 ,2006/美国/剧情传记家庭,24,8.9
怦然心动,676976人评价,真正的幸福是来自内心深处。,2010/美国/剧情喜剧爱情,25,8.9
天堂电影院,348859人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988/意大利法国/剧情爱情,26,9.1
十二怒汉,199758人评价,1957年的理想主义。 ,1957/美国/剧情,27,9.4
蝙蝠侠：黑暗骑士,391216人评价,无尽的黑暗。,2008/美国英国/剧情动作科幻犯罪惊悚,28,9.1
鬼子来了,276933人评价,对敌人的仁慈，就是对自己残忍。,2000/中国大陆/剧情历史战争,29,9.2
少年派的奇幻漂流,669067人评价,瑰丽壮观、无人能及的冒险之旅。,2012/美国台湾英国加拿大/剧情奇幻冒险,30,9.0
疯狂动物城,629469人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016/美国/喜剧动画冒险,31,9.1
活着,325240人评价,张艺谋最好的电影。,1994/中国大陆香港/剧情历史家庭,32,9.1
搏击俱乐部,447465人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999/美国德国/剧情动作悬疑惊悚,33,9.0
指环王3：王者无敌,328936人评价,史诗的终章。,2003/美国新西兰/剧情动作奇幻冒险,34,9.1
